metagenome	source	function	abundance	avg eValue	avg % ident	avg align len	# hits	
4572530.3	GenBank	2-hydroxyacyl-CoA lyase 1	3	-8	86.38	32	1	
4572530.3	GenBank	2-methylcitrate synthase	2	-24.5	94.69	56.5	2	
4572530.3	GenBank	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	1	-46	100	91	1	
4572530.3	GenBank	2-octaprenyl-6-methoxyphenol hydroxylase	1	-45	98.9	91	1	
4572530.3	GenBank	2-oxo-acid dehydrogenase E1 component, homodimeric type subfamily	1	-71	94.37	142	1	
4572530.3	GenBank	2-oxoglutarate dehydrogenase E1 component	2	-48	95.91	94	2	
4572530.3	GenBank	20-beta hydroxysteroid dehydrogenase	1	-24	85	60	1	
4572530.3	GenBank	20S proteasome beta subunit	1	-14	97.44	39	1	
4572530.3	GenBank	23S rRNA (Uracil-5-)-methyltransferase rumA	2	-17.5	75.855	58	1	
4572530.3	GenBank	23S rRNA (uracil-5-)-methyltransferase	1	-22	70.27	74	1	
4572530.3	GenBank	23S rRNA m(2)G2445 methyltransferase	2	-23	84.75	59	1	
4572530.3	GenBank	23S rRNA methyltransferase A	1	-24	70.83	72	1	
4572530.3	GenBank	24-dehydrocholesterol reductase	1	-14	97.44	39	1	
4572530.3	GenBank	25 kDa synaptosomal-associated protein	1	-5	100	23	1	
4572530.3	GenBank	2610030H06Rik protein	1	-5	82.14	28	1	
4572530.3	GenBank	26S protease regulatory subunit 6B	4	-11.75	100	34.25	1	
4572530.3	GenBank	26S protease regulatory subunit 8	1	-22	98.15	54	1	
4572530.3	GenBank	26S protease regulatory subunit S10B	1	-15	100	40	1	
4572530.3	GenBank	26S proteasome ATPase subunit	4	-11.75	100	34.25	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 10	4	-13.5	93.625	39	2	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 11	2	-18	97.87	47	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 12	1	-6	92.59	27	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 13	4	-11	97.988	32.25	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 2	4	-19.75	99.243	47.5	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 6	1	-22	96.15	52	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 7 like 1	2	-26.5	97.61	61.5	1	
4572530.3	GenBank	26S proteasome non-ATPase regulatory subunit 9	1	-6	89.66	29	1	
4572530.3	GenBank	26S proteasome regulatory complex subunit p37B	2	-24	100	52	1	
4572530.3	GenBank	26S proteasome subunit	2	-12	92.11	38	1	
4572530.3	GenBank	2700081O15Rik protein	1	-14	77.08	48	1	
4572530.3	GenBank	28S ribosomal protein S15, mitochondrial precursor	1	-5	89.29	28	1	
4572530.3	GenBank	28S ribosomal protein S16, mitochondrial precursor	3	-29	91.743	63.667	1	
4572530.3	GenBank	28S ribosomal protein S24, mitochondrial precursor	1	-23	83.61	61	1	
4572530.3	GenBank	28S ribosomal protein S26, mitochondrial precursor	1	-10	81.58	38	1	
4572530.3	GenBank	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	2	-5	63.89	36	1	
4572530.3	GenBank	2e999-prov protein	2	-10	88.57	35	1	
4572530.3	GenBank	3',5'-cyclic-nucleotide phosphodiesterase	5	-15.8	71.302	55.8	2	
4572530.3	GenBank	3'-phosphoadenosine 5'-phosphosulfate synthase 2	5	-14.8	90.452	40.8	2	
4572530.3	GenBank	3,4-dihydroxy-2-butanone 4-phosphate synthase	2	-17	64.71	68	1	
4572530.3	GenBank	3,4-dihydroxy-2-butanone-4-phosphate synthase	2	-23	79.41	68	1	
4572530.3	GenBank	3-beta hydroxysteroid dehydrogenase	2	-19	83.02	53	1	
4572530.3	GenBank	3-beta-hydroxysteroid dehydrogenase 2	1	-36	92.31	78	1	
4572530.3	GenBank	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase	1	-24	90	60	1	
4572530.3	GenBank	3-deoxy-manno-octulosonate cytidylyltransferase	1	-23	92.73	55	1	
4572530.3	GenBank	3-hydroxy-3-methylglutaryl coenzyme A reductase	4	-8.5	93.64	30.5	1	
4572530.3	GenBank	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	4	-8.5	93.64	30.5	1	
4572530.3	GenBank	3-hydroxy-3-methylglutaryl-Coenzyme A reductase, isoform CRA_a	4	-8.5	93.64	30.5	1	
4572530.3	GenBank	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	2	-10	83.33	36	1	
4572530.3	GenBank	3-hydroxy-3-methylglutaryl-coenzyme A reductase	4	-8.5	93.64	30.5	1	
4572530.3	GenBank	3-hydroxyisobutyrate dehydrogenase	1	-11	97.22	36	1	
4572530.3	GenBank	3-hydroxyisobutyrate dehydrogenase a	1	-15	86.67	45	1	
4572530.3	GenBank	3-isopropylmalate dehydrogenase	2	-21	94.64	56	1	
4572530.3	GenBank	3-ketoacyl-CoA thiolase	4	-37.25	93.063	83.5	4	
4572530.3	GenBank	3-ketoacyl-CoA thiolase (isoleucine degradation)	3	-18.667	78.583	56	1	
4572530.3	GenBank	3-ketoacyl-CoA thiolase, mitochondrial	1	-10	94.29	35	1	
4572530.3	GenBank	3-ketodihydrosphingosine reductase	3	-6	94.713	24.667	2	
4572530.3	GenBank	3-methyl-2-oxobutanoate dehydrogenase kinase, mitochondrial precursor	1	-12	97.22	36	1	
4572530.3	GenBank	3-methyl-2-oxobutanoate hydroxymethyltransferase	3	-20	91.08	51.667	2	
4572530.3	GenBank	3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide 1	3	-7.333	98.89	29.333	1	
4572530.3	GenBank	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	2	-42.5	86.365	92.5	2	
4572530.3	GenBank	3-octaprenyl-4-hydroxybenzoate carboxy-lyase, putative	2	-29.5	97.495	64	1	
4572530.3	GenBank	3-oxo-5-beta-steroid 4-dehydrogenase	1	-7	96.43	28	1	
4572530.3	GenBank	3-oxoacid CoA transferase 1a	1	-10	85.71	35	1	
4572530.3	GenBank	3-oxoacyl-(acyl carrier protein) synthase III	1	-44	92.39	92	1	
4572530.3	GenBank	3-oxoacyl-(acyl-carrier-protein) synthase II	3	-13.667	91.577	40.333	2	
4572530.3	GenBank	3-oxoacyl-[acyl-carrier protein] reductase	1	-42	98.88	89	1	
4572530.3	GenBank	3-oxoacyl-[acyl-carrier-protein] synthase 1	2	-27	96.88	64	1	
4572530.3	GenBank	3-oxoacyl-[acyl-carrier-protein] synthase KASIII	1	-50	100	100	1	
4572530.3	GenBank	3-oxoacyl-acyl-carrier-protein reductase	1	-11	94.74	38	1	
4572530.3	GenBank	30C light meromyosin	2	-38	96.43	84	1	
4572530.3	GenBank	30S ribosomal protein S18	1	-29	100	64	1	
4572530.3	GenBank	30S ribosomal protein S3	2	-18.5	99	49	1	
4572530.3	GenBank	30S ribosomal protein S5	1	-27	98.44	64	1	
4572530.3	GenBank	30S ribosomal protein S7	1	-28	100	64	1	
4572530.3	GenBank	32,5-bisphosphate nucleotidase 1	2	-9	81.58	38	1	
4572530.3	GenBank	33 kDa chaperonin	1	-8	85.29	34	1	
4572530.3	GenBank	36 kD protein	1	-28	95.31	64	1	
4572530.3	GenBank	38 kDa Mov34 homolog	1	-5	100	22	1	
4572530.3	GenBank	39S ribosomal protein L12, mitochondrial precursor	1	-8	96.67	30	1	
4572530.3	GenBank	39S ribosomal protein L15, mitochondrial precursor	1	-34	83.95	81	1	
4572530.3	GenBank	39S ribosomal protein L17, mitochondrial precursor	2	-10	96.77	31	1	
4572530.3	GenBank	39S ribosomal protein L21, mitochondrial precursor	1	-41	85.56	90	1	
4572530.3	GenBank	39S ribosomal protein L28, mitochondrial precursor	2	-11	89.23	35	1	
4572530.3	GenBank	39S ribosomal protein L37, mitochondrial precursor	2	-10	69.23	39	1	
4572530.3	GenBank	39S ribosomal protein L38, mitochondrial precursor	1	-19	72.73	55	1	
4572530.3	GenBank	39S ribosomal protein L44, mitochondrial precursor	3	-28	69.77	87	1	
4572530.3	GenBank	39S ribosomal protein L45, mitochondrial precursor	1	-27	91.53	59	1	
4572530.3	GenBank	39S ribosomal protein L48, mitochondrial precursor	2	-6	80.235	29.5	1	
4572530.3	GenBank	39S ribosomal protein L51, mitochondrial precursor	1	-6	83.87	31	1	
4572530.3	GenBank	3beta-hydroxysteroid dehydrogenase	2	-30	87.32	71	1	
4572530.3	GenBank	3beta-hydroxysteroid dehydrogenase type II	1	-22	72.13	61	1	
4572530.3	GenBank	3beta-hydroxysteroid dehydrogenase type II variant 1	1	-22	72.13	61	1	
4572530.3	GenBank	4,5-dihydroxyphthalate dehydrogenase	3	-7.333	67.727	41.333	1	
4572530.3	GenBank	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	1	-57	99.06	106	1	
4572530.3	GenBank	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1	-64	98.37	123	1	
4572530.3	GenBank	4-hydroxyphenylpyruvate dioxygenase	2	-8	82.945	33.5	2	
4572530.3	GenBank	4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	2	-32	77.92	77	1	
4572530.3	GenBank	40 kDa peptidyl-prolyl cis-trans isomerase	1	-6	89.66	29	1	
4572530.3	GenBank	40S ribosomal protein S18	1	-11	94.59	37	1	
4572530.3	GenBank	40S ribosomal protein S25	1	-27	93.94	66	1	
4572530.3	GenBank	40S ribosomal protein S3a	1	-8	100	29	1	
4572530.3	GenBank	40S ribosomal protein S4	1	-27	100	58	1	
4572530.3	GenBank	40S ribosomal protein S5	1	-15	92.86	42	1	
4572530.3	GenBank	40S ribosomal protein S6	2	-14	97.585	41.5	1	
4572530.3	GenBank	40S ribosomal protein Sa-like protein	2	-20.5	97.98	49.5	1	
4572530.3	GenBank	42Sp50	2	-26.5	86.72	64	1	
4572530.3	GenBank	44.1 kDa connexin	4	-45.5	97.045	89	1	
4572530.3	GenBank	4833403I15Rik protein	2	-8	61.36	44	1	
4572530.3	GenBank	4F2 cell-surface antigen heavy chain	3	-10.667	78.94	40	1	
4572530.3	GenBank	5 hydroxytryptamine (serotonin) receptor 4	2	-20	85.19	54	1	
4572530.3	GenBank	5 hydroxytryptamine (serotonin) receptor 4, isoform CRA_c	2	-20	85.19	54	1	
4572530.3	GenBank	5' nucleotidase	2	-27	96.55	58	1	
4572530.3	GenBank	5' nucleotidase, ecto	4	-14	70.325	52.75	2	
4572530.3	GenBank	5' nucleotidase, ecto, isoform CRA_a	2	-19	81.62	55.5	1	
4572530.3	GenBank	5',3'-nucleotidase, mitochondrial	1	-19	83.33	54	1	
4572530.3	GenBank	5'-3' exoribonuclease 1	4	-8.25	82.665	34	2	
4572530.3	GenBank	5'-3' exoribonuclease 1, isoform CRA_a	2	-5.5	73.66	32	1	
4572530.3	GenBank	5'-3' exoribonuclease 2	1	-11	90.91	33	1	
4572530.3	GenBank	5'-AMP-activated protein kinase alpha-1 catalytic subunit	2	-7	90	30	1	
4572530.3	GenBank	5'-AMP-activated protein kinase gamma-2 non-catalytic subunit transcript variant 3	1	-6	100	25	1	
4572530.3	GenBank	5'-Nucleotidase domain protein	1	-6	67.65	34	1	
4572530.3	GenBank	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	1	-45	93.07	101	1	
4572530.3	GenBank	5'-nucleotidase	2	-13	63.6	56.5	2	
4572530.3	GenBank	5'-nucleotidase YjjG	1	-5	95.45	22	1	
4572530.3	GenBank	5'-nucleotidase domain containing 3	1	-6	92	25	1	
4572530.3	GenBank	5'-nucleotidase yjjG	1	-5	95.45	22	1	
4572530.3	GenBank	5'-nucleotidase, cytosolic 3	1	-16	83.67	49	1	
4572530.3	GenBank	5'-nucleotidase, cytosolic III-like	1	-13	65.31	49	1	
4572530.3	GenBank	5'-nucleotidase, ecto (CD73)	15	-11.067	76.117	43.667	2	
4572530.3	GenBank	5,10-methylenetetrahydrofolate reductase (NADPH)	1	-19	71.19	59	1	
4572530.3	GenBank	5,10-methylenetetrahydrofolate reductase (NADPH) (predicted), isoform CRA_a	1	-14	82.5	40	1	
4572530.3	GenBank	5,10-methylenetetrahydrofolate reductase (NADPH), isoform CRA_b	1	-19	71.19	59	1	
4572530.3	GenBank	5-(carboxyamino)imidazole ribonucleotide synthase	1	-10	96.67	30	1	
4572530.3	GenBank	5-AMP-activated protein kinase subunit beta-1	2	-9	87.98	32	1	
4572530.3	GenBank	5-HT receptor 1A	1	-9	96.77	31	1	
4572530.3	GenBank	5-HT2C receptor	3	-23.333	93.717	63.333	1	
4572530.3	GenBank	5-aminolevulinate synthase	6	-16.167	86.633	46.333	1	
4572530.3	GenBank	5-aminolevulinate synthase, nonspecific, mitochondrial precursor	3	-16.333	78.807	50.333	1	
4572530.3	GenBank	5-carboxymethyl-2-hydroxymuconate delta isomerase	1	-29	74.39	82	1	
4572530.3	GenBank	5-carboxymethyl-2-hydroxymuconate delta-isomerase	1	-28	73.42	79	1	
4572530.3	GenBank	5-hydroxyisourate hydrolase	2	-11	68.29	41	1	
4572530.3	GenBank	5-hydroxytryptamine (serotonin) receptor 2A	1	-10	91.43	35	1	
4572530.3	GenBank	5-hydroxytryptamine 1A receptor	1	-5	100	23	1	
4572530.3	GenBank	5-hydroxytryptamine 1D receptor	2	-21.5	100	49.5	1	
4572530.3	GenBank	5-hydroxytryptamine 2 receptor	1	-10	91.43	35	1	
4572530.3	GenBank	5-hydroxytryptamine receptor 2A	5	-29.4	95.506	64.6	2	
4572530.3	GenBank	5-methylcytosine G/T mismatch-specific DNA glycosylase	3	-12	88.59	34.333	1	
4572530.3	GenBank	5-methyltetrahydrofolate-homocysteine methyltransferase	3	-17.333	93.937	45	3	
4572530.3	GenBank	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2	-68.5	94.32	136	2	
4572530.3	GenBank	50S ribosomal protein L1	1	-36	92.5	80	1	
4572530.3	GenBank	50S ribosomal protein L10	1	-44	95.7	93	1	
4572530.3	GenBank	50S ribosomal protein L14	2	-6	100	26	1	
4572530.3	GenBank	50S ribosomal protein L21	1	-51	98.04	102	1	
4572530.3	GenBank	50S ribosomal protein L24	3	-37	97.917	80.667	1	
4572530.3	GenBank	50S ribosomal protein L5	1	-7	100	27	1	
4572530.3	GenBank	50S ribosomal subunit protein L21	1	-51	98.04	102	1	
4572530.3	GenBank	50S ribosomal subunit protein L5	1	-15	95.35	43	1	
4572530.3	GenBank	52 kDa Ro protein	3	-11.667	68.753	51	1	
4572530.3	GenBank	52 kda paraneoplastic cerebellar degeneration-associated antigen	2	-5	88.46	26	1	
4572530.3	GenBank	5A11/Basigin-2	1	-18	85.71	49	1	
4572530.3	GenBank	6-phospho-beta-glucosidase	4	-24.25	81.86	70	2	
4572530.3	GenBank	6-phospho-beta-glucosidase (Cellobiose-6-phosphatehydrolase) (Phospho-chitobiase)	1	-30	69.15	94	1	
4572530.3	GenBank	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	2	-11	96.97	33	1	
4572530.3	GenBank	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2, isoform CRA_b	1	-10	90.91	33	1	
4572530.3	GenBank	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase	2	-16	100	41	1	
4572530.3	GenBank	6-phosphofructokinase	2	-23	93.1	58	1	
4572530.3	GenBank	6-phosphofructokinase type C	2	-11	93.135	37	1	
4572530.3	GenBank	6-phosphogluconate dehydrogenase, decarboxylating	2	-24	79.37	63	1	
4572530.3	GenBank	6-phosphogluconolactonase	4	-23.75	89.68	57.75	3	
4572530.3	GenBank	60S acidic ribosomal protein P0	1	-16	97.67	43	1	
4572530.3	GenBank	60S acidic ribosomal protein P2	1	-7	100	26	1	
4572530.3	GenBank	60S ribosomal export protein NMD3	2	-9	96.67	30	1	
4572530.3	GenBank	60S ribosomal protein L13a	1	-9	85.29	34	1	
4572530.3	GenBank	60S ribosomal protein L14	1	-9	96.67	30	1	
4572530.3	GenBank	60S ribosomal protein L19	2	-13.5	93.9	41	2	
4572530.3	GenBank	60S ribosomal protein L26	1	-8	96.77	31	1	
4572530.3	GenBank	60S ribosomal protein L36	3	-9.667	97.7	32	2	
4572530.3	GenBank	60S ribosomal protein L4	2	-15	100	36.5	1	
4572530.3	GenBank	60S ribosomal protein L5	1	-7	89.29	28	1	
4572530.3	GenBank	60S ribosomal protein L6	4	-34.5	85.73	84.5	1	
4572530.3	GenBank	60S ribosomal protein L8	1	-16	97.56	41	1	
4572530.3	GenBank	6A3-5 protein	1	-19	91.67	48	1	
4572530.3	GenBank	6H1 orphan receptor	1	-24	85	60	1	
4572530.3	GenBank	7 transmembrane receptor	29	-17.586	64.98	65.241	1	
4572530.3	GenBank	70 kDa heat-shock-like protein	3	-23	88.513	55.667	1	
4572530.3	GenBank	70 kDa peroxisomal membrane protein	1	-9	90.62	32	1	
4572530.3	GenBank	8-amino-7-oxononanoate synthase	4	-19.25	73.973	60.75	3	
4572530.3	GenBank	A	282	-80.809	99.68	143.152	1	
4572530.3	GenBank	A disintegrin and metalloproteinase domain 17a	6	-13.167	86.435	39.667	1	
4572530.3	GenBank	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	1	-12	100	31	1	
4572530.3	GenBank	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	1	-14	77.78	45	1	
4572530.3	GenBank	A kinase (PRKA) anchor protein (yotiao) 9	3	-12.667	89.67	42	1	
4572530.3	GenBank	A kinase (PRKA) anchor protein (yotiao) 9, isoform CRA_b	1	-20	66.15	65	1	
4572530.3	GenBank	A kinase (PRKA) anchor protein (yotiao) 9, isoform CRA_d	1	-8	68.18	44	1	
4572530.3	GenBank	A kinase (PRKA) anchor protein 13	1	-5	69.7	33	1	
4572530.3	GenBank	A kinase (PRKA) anchor protein 13, isoform CRA_c	1	-5	69.7	33	1	
4572530.3	GenBank	A kinase (PRKA) anchor protein 2	1	-6	79.31	29	1	
4572530.3	GenBank	A kinase-anchoring protein	3	-5.667	84.653	32	1	
4572530.3	GenBank	A' gene	220	-66.055	98.436	122.473	1	
4572530.3	GenBank	A*	136	-76.338	99.937	134.301	1	
4572530.3	GenBank	A-kinase anchor protein	1	-8	62.5	40	1	
4572530.3	GenBank	A-kinase anchor protein 10	3	-12.333	79.78	42.333	1	
4572530.3	GenBank	A-kinase anchor protein 11-like	3	-11	78.31	41	1	
4572530.3	GenBank	A/G-specific adenine glycosylase	1	-12	70.45	44	1	
4572530.3	GenBank	A1 adenosine receptor	1	-36	75.79	95	1	
4572530.3	GenBank	A2a adenosine receptor subtype	1	-31	80.77	78	1	
4572530.3	GenBank	AAA ATPase	1	-17	84.91	53	1	
4572530.3	GenBank	AAA ATPase domain-containing protein	1	-7	96	25	1	
4572530.3	GenBank	AB21 protein	1	-6	100	23	1	
4572530.3	GenBank	ABC A transporter	1	-32	70.11	87	1	
4572530.3	GenBank	ABC G transporter	1	-7	81.82	33	1	
4572530.3	GenBank	ABC transporter	2	-13.5	90.725	40	1	
4572530.3	GenBank	ABC transporter ATP-binding protein	3	-36.333	86.353	85	3	
4572530.3	GenBank	ABC transporter ATP-binding protein YvcR	1	-13	81.82	44	1	
4572530.3	GenBank	ABC transporter permease	2	-33	86.42	81	1	
4572530.3	GenBank	ABC transporter permease and ATP-binding protein	1	-5	74.19	31	1	
4572530.3	GenBank	ABC transporter permease protein	1	-86	100	158	1	
4572530.3	GenBank	ABC transporter related	5	-13.6	72.68	48.8	2	
4572530.3	GenBank	ABC transporter related protein	5	-20.4	79.666	61	4	
4572530.3	GenBank	ABC transporter substrate-binding protein	1	-51	95.45	110	1	
4572530.3	GenBank	ABC transporter transmembrane region	1	-19	95.65	46	1	
4572530.3	GenBank	ABC transporter, ATP-binding protein	12	-23.417	82.658	64.167	8	
4572530.3	GenBank	ABC transporter, periplasmic substrate-binding protein	1	-50	89.81	108	1	
4572530.3	GenBank	ABC transporter, permease protein	3	-16.333	85.873	46.333	2	
4572530.3	GenBank	ABC transporter, permease protein, putative	1	-17	100	45	1	
4572530.3	GenBank	ABC transporter, transmembrane region:ABC transporter:Peptidase C39, bacteriocin processing	1	-8	82.86	35	1	
4572530.3	GenBank	ABC transporter: substrate binding protein precursor	2	-24	83.19	59.5	1	
4572530.3	GenBank	ABC-type amino acid transport system, permease component	1	-19	84.62	52	1	
4572530.3	GenBank	ABC-type antimicrobial peptide transport system permease component	1	-36	86.75	83	1	
4572530.3	GenBank	ABC-type antimicrobial peptide transport system, ATPase component	1	-13	81.82	44	1	
4572530.3	GenBank	ABC-type arginine/histidine transport system, permease component	2	-39	98.75	80	1	
4572530.3	GenBank	ABC-type dipeptide transport system	1	-38	74.47	94	1	
4572530.3	GenBank	ABC-type multidrug transport system	1	-40	60	130	1	
4572530.3	GenBank	ABC-type multidrug transport system ATPase and permease component	1	-56	83.08	130	1	
4572530.3	GenBank	ABC-type multidrug transport system, ATPase and permease component	1	-25	65.43	81	1	
4572530.3	GenBank	ABC-type multidrug transport system, permease component	1	-35	78.65	89	1	
4572530.3	GenBank	ABC-type phosphate transport system, periplasmic component	2	-22	94.55	55	1	
4572530.3	GenBank	ABC-type transport system, ATPase component	4	-9	62.945	45	2	
4572530.3	GenBank	ABC-type tungstate transport system binding protein	1	-37	87.95	83	1	
4572530.3	GenBank	ABC-type tungstate transport system periplasmic binding protein	1	-10	90.91	33	1	
4572530.3	GenBank	ABC-type tungstate transport system, periplasmic binding protein	1	-10	90.91	33	1	
4572530.3	GenBank	ABC-type uncharacterized transport system permease component	1	-11	73.91	46	1	
4572530.3	GenBank	ABCA4	2	-10	94.415	33.5	2	
4572530.3	GenBank	ABCD3 protein	1	-7	81.82	33	1	
4572530.3	GenBank	ABCF3 protein	1	-16	83.33	48	1	
4572530.3	GenBank	ABLIM3 protein	1	-7	81.48	27	1	
4572530.3	GenBank	ACBP/ECHM	2	-17	87.5	48	1	
4572530.3	GenBank	ACCN4 protein	1	-15	72.55	51	1	
